,H3K27me3_brep1,H3K27me3_brep2,input_brep1,input_brep2
1,0.885714285714286,0.914893617021277,0.871447028423773,0.854326396495071
2,1.05714285714286,1.04255319148936,1.04651162790698,1.05147864184009
3,0.8,0.851063829787234,0.767441860465116,0.755750273822563
4,0.960714285714286,0.957446808510638,0.961240310077519,0.952902519167579
5,1.02857142857143,1.00236406619385,1.06976744186047,1.08433734939759
6,0.914285714285714,0.936170212765958,0.904392764857881,0.887185104052574
7,1.05714285714286,1.02127659574468,1.11627906976744,1.11719605695509
8,1.02857142857143,1.02127659574468,1.06976744186047,1.08214676889376
9,1.12222222222222,1.1063829787234,1.17764857881137,1.1829134720701
10,0.920634920634921,0.940307328605201,0.930232558139535,0.920043811610077
11,1.26587301587302,1.21335697399527,1.32945736434109,1.38006571741511
12,0.971428571428571,0.971631205673759,0.968992248062015,0.983570646221249
13,1.03095238095238,1.04255319148936,1.04651162790698,1.05147864184009
14,0.942857142857143,0.957446808510638,0.930232558139535,0.920043811610077
15,0.971428571428571,0.978723404255319,0.976744186046512,0.952902519167579
16,0.866666666666667,0.899527186761229,0.837209302325581,0.821467688937568
17,1.1,1.06973995271868,1.14470284237726,1.17415115005476
18,0.942857142857143,0.958037825059102,0.953488372093023,0.952902519167579
19,1.17142857142857,1.17021276595745,1.18604651162791,1.2157721796276
X,0.228571428571429,0.25531914893617,0.1828165374677,0.164293537787514
Y,0.428571428571429,0.382978723404255,0.255813953488372,0.230010952902519
MT,16.1612009378521,30.0342789598109,34.8417312661499,68.7601314348302
BK000964.3,279.389102121235,215.333681401113,179.859404818122,228.066265060241
