Sample	Read pairs	Duplicate pairs	Percentage dupes
H3K27me3_brep1_metrics.txt	0	0	40.73
H3K27me3_brep2_metrics.txt	0	0	34.20
input_brep1_metrics.txt	0	0	7.61
input_brep2_metrics.txt	0	0	10.67
