"refseq_gene_id","ensembl_gene_id","external_gene_name","entrezgene"
"NM_001134457","ENSMUSG00000075033","Nxpe3",385658
"NM_001134458","ENSMUSG00000020279","Il9r",16199
"NM_001134459","ENSMUSG00000030020","Prickle2",243548
"NM_001134460","ENSMUSG00000030020","Prickle2",243548
"NM_001134461","ENSMUSG00000030020","Prickle2",243548
"NM_001134465","ENSMUSG00000040818","Dennd6a",211922
"NM_001134474","ENSMUSG00000021614","Vcan",13003
"NM_001134475","ENSMUSG00000021614","Vcan",13003
"NM_001134480","ENSMUSG00000087141","Plcxd2",433022
"NM_001134644","ENSMUSG00000078673","Mup19",100189605
"NM_001134644","ENSMUSG00000078675","Mup16",100039177
"NM_001134644","ENSMUSG00000078688","Mup2",17841
"NM_001134644","ENSMUSG00000096688","Mup17",100039206
"NM_001134644","ENSMUSG00000096688","Mup17",100048885
"NM_001134646","ENSMUSG00000078713","Tomm5",68512
"NM_001134646","ENSMUSG00000078713","Tomm5",666377
"NM_001134660","ENSMUSG00000091080","Prr23a1",623166
"NM_001134661","ENSMUSG00000063058","Prr23a2",623186
"NM_001134674","ENSMUSG00000089873","Mup13",100039089
"NM_001134675","ENSMUSG00000073842","Mup7",100041658
"NM_001134676","ENSMUSG00000078687","Mup8",100041687
"NM_001134692","ENSMUSG00000038803","Ost4",67695
"NM_001134692","ENSMUSG00000038803","Ost4",102632739
"NM_001134697","ENSMUSG00000069372","Ctxn3",629147
"NM_001134717","ENSMUSG00000047635","2810006K23Rik",72650
"NM_001134733","ENSMUSG00000028813","CK137956",635169
"NM_001134741","ENSMUSG00000060985","Tdrd5",214575
"NM_001134743","ENSMUSG00000052581","Lrrtm4",243499
"NM_001134752","ENSMUSG00000093536","Smim17",100042450
"NM_001134767","ENSMUSG00000061882","Ccdc62",208908
"NM_001134791","ENSMUSG00000028559","Osbpl9",100273
"NM_001134802","ENSMUSG00000071716","Apol7e",666348
"NM_001134829","ENSMUSG00000026623","Lpgat1",226856
"NM_001134902","ENSMUSG00000059820","AU019823",270156
"NM_001135001","ENSMUSG00000017843","Ppp2r5c",26931
"NM_001135019","ENSMUSG00000060510","Zfp266",77519
"NM_001135093","ENSMUSG00000073209","Klf14",619665
"NM_001135100","ENSMUSG00000031750","Il34",76527
"NM_001135112","ENSMUSG00000004069","Dnaja3",83945
"NM_001135127","ENSMUSG00000078673","Mup19",100189605
"NM_001135149","ENSMUSG00000053897","Slc39a8",67547
"NM_001135150","ENSMUSG00000053897","Slc39a8",67547
"NM_001135151","ENSMUSG00000022094","Slc39a14",213053
"NM_001135152","ENSMUSG00000022094","Slc39a14",213053
"NM_001135172","ENSMUSG00000061535","C1qtnf7",109323
"NM_001135192","ENSMUSG00000052632","Asap2",211914
"NM_001135198","ENSMUSG00000047220","Ccdc36",434438
"NM_001135559","ENSMUSG00000034801","Sos2",20663
"NM_001135567","ENSMUSG00000063320","1190007I07Rik",544717
"NM_001135568","ENSMUSG00000063320","1190007I07Rik",544717
"NM_001135569","ENSMUSG00000063320","1190007I07Rik",544717
"NM_001135577","ENSMUSG00000091264","Smim13",108934
"NM_001135611","ENSMUSG00000046806","3110062M04Rik",78412
"NM_001135657","ENSMUSG00000025314","Ptprj",19271
"NM_001135688","ENSMUSG00000022577","Ly6h",23934
"NM_001135689","ENSMUSG00000022577","Ly6h",23934
"NM_001135727","ENSMUSG00000040990","Sh3kbp1",58194
"NM_001135728","ENSMUSG00000040990","Sh3kbp1",58194
"NM_001135991","ENSMUSG00000069582","Krtap10-4",100191037
"NM_001136054","ENSMUSG00000030850","Ate1",11907
"NM_001136055","ENSMUSG00000027215","Cd82",12521
"NM_001136056","ENSMUSG00000028444","Cntfr",12804
"NM_001136057","ENSMUSG00000022212","Cpne6",12891
"NM_001136058","ENSMUSG00000029121","Crmp1",12933
"NM_001136059","ENSMUSG00000032315","Cyp1a1",13076
"NM_001136060","ENSMUSG00000061576","Dpp6",13483
"NM_001136061","ENSMUSG00000022122","Ednrb",13618
"NM_001136062","ENSMUSG00000060600","Eno3",13808
"NM_001136063","ENSMUSG00000027316","Gfra4",14588
"NM_001136064","ENSMUSG00000071657","Bscl2",14705
"NM_001136065","ENSMUSG00000061436","Hipk2",15258
"NM_001136066","ENSMUSG00000004070","Hmox2",15369
"NM_001136067","ENSMUSG00000004221","Ikbkg",16151
"NM_001136068","ENSMUSG00000030167","Klrc1",16641
"NM_001136069","ENSMUSG00000063229","Ldha",16828
"NM_001136070","ENSMUSG00000026427","Eif2d",16865
"NM_001136071","ENSMUSG00000018819","Lsp1",16985
"NM_001136072","ENSMUSG00000027210","Meis2",17536
"NM_001136073","ENSMUSG00000027544","Nfatc2",18019
"NM_001136074","ENSMUSG00000040632","Nrl",18185
"NM_001136075","ENSMUSG00000021224","Numb",18222
"NM_001136076","ENSMUSG00000018906","P4ha2",18452
"NM_001136077","ENSMUSG00000022425","Enpp2",18606
"NM_001136079","ENSMUSG00000039942","Ptger4",19219
"NM_001136081","ENSMUSG00000027067","Ssrp1",20833
"NM_001136082","ENSMUSG00000039994","Timeless",21853
"NM_001136084","ENSMUSG00000040046","Tph1",21990
"NM_001136085","ENSMUSG00000001924","Uba1",22201
"NM_001136086","ENSMUSG00000024501","Dpysl3",22240
"NM_001136087","ENSMUSG00000021612","Slc6a18",22598
"NM_001136089","ENSMUSG00000031635","Anxa10",26359
"NM_001136090","ENSMUSG00000038425","Poli",26447
"NM_001136091","ENSMUSG00000001750","Tcirg1",27060
"NM_001136104","ENSMUSG00000026596","Abl2",11352
"NM_001136117","ENSMUSG00000091648","C2cd4d",271944
"NM_001136181","ENSMUSG00000078963","Hsbp1l1",66255
"NM_001136222","ENSMUSG00000032883","Acsl3",74205
"NM_001136226","ENSMUSG00000079470","Utp14b",195434
"NM_001136227","ENSMUSG00000034930","Rtkn",20166
"NM_001136235","ENSMUSG00000051727","Kctd14",233529
"NM_001136236","ENSMUSG00000059994","Fcrl1",229499
"NM_001136237","ENSMUSG00000039878","Slc39a5",72002
"NM_001136240","ENSMUSG00000015970","Chdh",218865
"NM_001136259","ENSMUSG00000042870","Tom1",21968
"NM_001136260","ENSMUSG00000060961","Slc4a4",54403
"NM_001136270","ENSMUSG00000091811","Inafm1",66300
"NM_001136471","ENSMUSG00000041375","Ccdc9",243846
"NM_001136476","ENSMUSG00000095063","Slx",664829
"NM_001136476","ENSMUSG00000095063","Slx",100038997
"NM_001136484","ENSMUSG00000038843","Gcnt1",14537
"NM_001136496","ENSMUSG00000113450","Zfp935",71508
"NM_001136556","ENSMUSG00000013338","Fer1l4",74562
"NM_001137547","ENSMUSG00000067215","Usp51",635253
"NM_001139503","ENSMUSG00000075467","Dnlz",52838
"NM_001139504","ENSMUSG00000075467","Dnlz",52838
"NM_001139509","ENSMUSG00000026826","Nr4a2",18227
"NM_001139511","ENSMUSG00000027593","Raly",19383
"NM_001139512","ENSMUSG00000027593","Raly",19383
"NM_001139513","ENSMUSG00000027593","Raly",19383
"NM_001139516","ENSMUSG00000027641","Rbl1",19650
"NM_001139519","ENSMUSG00000027514","Zbp1",58203
"NM_001139520","ENSMUSG00000027639","Samhd1",56045
"NM_001141921","ENSMUSG00000030600","Lrfn1",80749
"NM_001141922","ENSMUSG00000031872","Bean1",65115
"NM_001141924","ENSMUSG00000031872","Bean1",65115
"NM_001141925","ENSMUSG00000031872","Bean1",65115
"NM_001141927","ENSMUSG00000038583","Pln",18821
"NM_001141930","ENSMUSG00000028988","Ctnnbip1",67087
"NM_001141931","ENSMUSG00000026970","Rbms1",56878
"NM_001141932","ENSMUSG00000026970","Rbms1",56878
"NM_001141933","ENSMUSG00000027574","Nkain4",58237
"NM_001141946","ENSMUSG00000027274","Mkks",59030
"NM_001141948","ENSMUSG00000026946","Nmi",64685
"NM_001141949","ENSMUSG00000026946","Nmi",64685
"NM_001141950","ENSMUSG00000025505","Tmem80",71448
"NM_001141965","ENSMUSG00000002728","Naa20",67877
"NM_001141971","ENSMUSG00000027341","Tmem230",70612
"NM_001141975","ENSMUSG00000027469","Tpx2",72119
"NM_001141976","ENSMUSG00000027469","Tpx2",72119
"NM_001141977","ENSMUSG00000027469","Tpx2",72119
"NM_001141978","ENSMUSG00000027469","Tpx2",72119
"NM_001141981","ENSMUSG00000036249","Rbm43",71684
"NM_001141982","ENSMUSG00000036249","Rbm43",71684
"NM_001141983","ENSMUSG00000042532","Golga7b",71146
"NM_001142322","ENSMUSG00000004677","Myo9b",17925
"NM_001142323","ENSMUSG00000004677","Myo9b",17925
"NM_001142335","ENSMUSG00000032698","Lmo2",16909
"NM_001142336","ENSMUSG00000032698","Lmo2",16909
"NM_001142337","ENSMUSG00000032698","Lmo2",16909
"NM_001142357","ENSMUSG00000035845","Alg12",223774
"NM_001142410","ENSMUSG00000079008","Gm14124",100216455
"NM_001142411","ENSMUSG00000060336","Zfp937",245174
"NM_001142441","ENSMUSG00000061104","Sap18b",100041953
"NM_001142539","ENSMUSG00000056133","Gm9992",667055
"NM_001142570","ENSMUSG00000025592","Dach2",93837
"NM_001142580","ENSMUSG00000021038","Vipas39",104799
"NM_001142581","ENSMUSG00000021038","Vipas39",104799
"NM_001142631","ENSMUSG00000052525","Spdya",70891
"NM_001142642","ENSMUSG00000043323","Fbrsl1",381668
"NM_001142647","ENSMUSG00000043015","Nemp2",227094
"NM_001142655","ENSMUSG00000007656","Arpp19",59046
"NM_001142681","ENSMUSG00000025512","Chid1",68038
"NM_001142690","ENSMUSG00000067561","Dmrtc1c2",668357
"NM_001142691","ENSMUSG00000067562","Dmrtc1c1",71083
"NM_001142697","ENSMUSG00000024269","Tpgs2",66648
"NM_001142698","ENSMUSG00000024269","Tpgs2",66648
"NM_001142701","ENSMUSG00000035697","Arhgap45",70719
"NM_001142706","ENSMUSG00000090231","Cfb",14962
"NM_001142727","ENSMUSG00000078570","1110065P20Rik",68920
"NM_001142728","ENSMUSG00000021090","Lrrc9",78257
"NM_001142729","ENSMUSG00000021090","Lrrc9",78257
"NM_001142731","ENSMUSG00000036225","Kctd1",106931
"NM_001142732","ENSMUSG00000030276","Ttll3",101100
"NM_001142734","ENSMUSG00000094973","Gm8994",668137
"NM_001142735","ENSMUSG00000052613","Pcdh15",11994
"NM_001142736","ENSMUSG00000052613","Pcdh15",11994
"NM_001142737","ENSMUSG00000052613","Pcdh15",11994
"NM_001142738","ENSMUSG00000052613","Pcdh15",11994
"NM_001142739","ENSMUSG00000052613","Pcdh15",11994
"NM_001142740","ENSMUSG00000052613","Pcdh15",11994
"NM_001142741","ENSMUSG00000052613","Pcdh15",11994
"NM_001142742","ENSMUSG00000052613","Pcdh15",11994
"NM_001142743","ENSMUSG00000052613","Pcdh15",11994
"NM_001142744","ENSMUSG00000024426","Atat1",73242
"NM_001142745","ENSMUSG00000024426","Atat1",73242
"NM_001142746","ENSMUSG00000052613","Pcdh15",11994
"NM_001142747","ENSMUSG00000052613","Pcdh15",11994
"NM_001142748","ENSMUSG00000052613","Pcdh15",11994
"NM_001142750","ENSMUSG00000100194","Tgif2lx2",100039551
"NM_001142760","ENSMUSG00000052613","Pcdh15",11994
"NM_001142775","ENSMUSG00000049214","Skint7",328505
"NM_001142781","ENSMUSG00000038022","Mindy4",330323
"NM_001142792","ENSMUSG00000046456","Tmem150b",330460
"NM_001142804","ENSMUSG00000035948","Acss3",380660
"NM_001142809","ENSMUSG00000019558","Slc6a8",102857
"NM_001142810","ENSMUSG00000019558","Slc6a8",102857
"NM_001142916","ENSMUSG00000032374","Plod2",26432
"NM_001142918","ENSMUSG00000024985","Tcf7l2",21416
"NM_001142919","ENSMUSG00000024985","Tcf7l2",21416
"NM_001142920","ENSMUSG00000024985","Tcf7l2",21416
"NM_001142921","ENSMUSG00000024985","Tcf7l2",21416
"NM_001142922","ENSMUSG00000024985","Tcf7l2",21416
"NM_001142923","ENSMUSG00000024985","Tcf7l2",21416
"NM_001142924","ENSMUSG00000024985","Tcf7l2",21416
"NM_001142937","ENSMUSG00000096458","Moap1",64113
"NM_001142938","ENSMUSG00000091931","Gon7",100233175
"NM_001142939","ENSMUSG00000041716","Gm20604",100859931
"NM_001142943","ENSMUSG00000032425","Zfp949",71640
"NM_001142948","ENSMUSG00000040596","Pogk",71592
"NM_001142950","ENSMUSG00000024587","Nars",70223
"NM_001142952","ENSMUSG00000044468","Fam46c",74645
"NM_001142953","ENSMUSG00000091685","Gm17359",100233207
"NM_001142957","ENSMUSG00000096910","Zfp955b",100043468
"NM_001142959","ENSMUSG00000044165","Bcl2l15",229672
"NM_001142960","ENSMUSG00000044165","Bcl2l15",229672
"NM_001142963","ENSMUSG00000096856","Gm10778",100233208
"NM_001142965","ENSMUSG00000045589","Frrs1l",230235
"NM_001142968","ENSMUSG00000044361","BC024139",271278
"NM_001142969","ENSMUSG00000067541","A630073D07Rik",381819
"NM_001143671","ENSMUSG00000038457","Tmem255b",272465
"NM_001143672","ENSMUSG00000038457","Tmem255b",272465
"NM_001143683","ENSMUSG00000016386","Mpped2",77015
"NM_001143686","ENSMUSG00000091694","Apol11b",328563
"NM_001143689","ENSMUSG00000035929","H2-Q4",15015
"NM_001143755","ENSMUSG00000015980","Lrrc27",76612
"NM_001143765","ENSMUSG00000025480","Syce1",74075
"NM_001143776","ENSMUSG00000043259","Fam13c",71721
"NM_001143777","ENSMUSG00000043259","Fam13c",71721
"NM_001143790","ENSMUSG00000020898","Ctc1",68964
"NM_001143802","ENSMUSG00000073805","Fam196a",627214
"NM_001143834","ENSMUSG00000049583","Grm5",108071
"NM_001143848","ENSMUSG00000110195","Pde2a",207728
"NM_001143849","ENSMUSG00000110195","Pde2a",207728
"NM_001143956","ENSMUSG00000040113","Mettl11b",240879
"NM_001144855","ENSMUSG00000026458","Ppfia4",68507
"NM_001144948","ENSMUSG00000078576","Gm12886",666921
"NM_001144953","ENSMUSG00000046613","Vwa5b2",328643
"NM_001144987","ENSMUSG00000036580","Spg20",229285
"NM_001144988","ENSMUSG00000036580","Spg20",229285
"NM_001144992","ENSMUSG00000026227","2810459M11Rik",72792
"NM_001144993","ENSMUSG00000026227","2810459M11Rik",72792
"NM_001145013","ENSMUSG00000035191","Rfpl4",192658
"NM_001145015","ENSMUSG00000074625","Arhgap40",545481
"NM_001145034","ENSMUSG00000087006","Gm13889",620695
"NM_001145038","ENSMUSG00000078324","Btbd35f14",100040732
"NM_001145060","ENSMUSG00000091043","Glyatl3",435528
"NM_001145096","ENSMUSG00000072511","Hhla1",654498
"NM_001145100","ENSMUSG00000086598","Btbd18",100270744
"NM_001145162","ENSMUSG00000052981","Ube2ql1",76980
"NM_001145164","ENSMUSG00000078921","Tgtp2",100039796
"NM_001145190","ENSMUSG00000074365","Crxos",546024
"NM_001145192","ENSMUSG00000091636","Akain1",320722
"NM_001145198","ENSMUSG00000087651","1500009L16Rik",69784
"NM_001145209","ENSMUSG00000019977","Hbs1l",56422
"NM_001145300","ENSMUSG00000046367","Mgat4e",71001
"NM_001145351","ENSMUSG00000074646","6430550D23Rik",320095
"NM_001145352","ENSMUSG00000074646","6430550D23Rik",320095
"NM_001145360","ENSMUSG00000090685","Gm9047",668210
"NM_001145390","ENSMUSG00000048473","Sult6b2",330440
"NM_001145403","ENSMUSG00000058740","Kcnt1",227632
"NM_001145406","ENSMUSG00000080933","Rhox3g",546294
"NM_001145433","ENSMUSG00000061461","Smim20",66278
"NM_001145435","ENSMUSG00000022759","Lrrc74b",74685
"NM_001145452","ENSMUSG00000054901","Arhgef33",381112
"NM_001145537","ENSMUSG00000087279","4930544D05Rik",668433
"NM_001145552","ENSMUSG00000002345","Borcs8",72368
"NM_001145637","ENSMUSG00000060268","Gm1661",381544
"NM_001145644","ENSMUSG00000046804","Phgr1",53906
"NM_001145660","ENSMUSG00000057173","Rfx8",619289
"NM_001145676","ENSMUSG00000071252","2210408I21Rik",72371
"NM_001145759","ENSMUSG00000090457","4930571K23Rik",NA
"NM_001145778","ENSMUSG00000021327","Zkscan3",72739
"NM_001145779","ENSMUSG00000021693","Kif2a",16563
"NM_001145780","ENSMUSG00000002395","Use1",67023
"NM_001145781","ENSMUSG00000033701","Acbd6",72482
"NM_001145799","ENSMUSG00000044258","Ctla2a",13024
"NM_001145800","ENSMUSG00000037995","Igsf9",93842
"NM_001145801","ENSMUSG00000074874","Ctla2b",13025
"NM_001145802","ENSMUSG00000021363","Mak",17152
"NM_001145803","ENSMUSG00000021363","Mak",17152
"NM_001145804","ENSMUSG00000026434","Nucks1",98415
