"refseq_gene_id","ensembl_gene_id","external_gene_name","entrezgene"
"","ENSMUSG00000000003","Pbsn",54192
"","ENSMUSG00000000028","Cdc45",12544
"","ENSMUSG00000000031","H19",NA
"","ENSMUSG00000000037","Scml2",107815
"","ENSMUSG00000000049","Apoh",11818
"","ENSMUSG00000000056","Narf",67608
"","ENSMUSG00000000058","Cav2",12390
"","ENSMUSG00000000078","Klf6",23849
"","ENSMUSG00000000085","Scmh1",29871
"","ENSMUSG00000000088","Cox5a",12858
"","ENSMUSG00000000094","Tbx4",21387
"","ENSMUSG00000000103","Zfy2",22768
"","ENSMUSG00000000126","Wnt9a",216795
"","ENSMUSG00000000131","Xpo6",74204
"","ENSMUSG00000000134","Tfe3",209446
"","ENSMUSG00000000142","Axin2",12006
"","ENSMUSG00000000148","Brat1",231841
"","ENSMUSG00000000149","Gna12",14673
"","ENSMUSG00000000154","Slc22a18",18400
"","ENSMUSG00000000157","Itgb2l",16415
"","ENSMUSG00000000159","Igsf5",72058
"","ENSMUSG00000000167","Pih1d2",72614
"","ENSMUSG00000000168","Dlat",235339
"","ENSMUSG00000000184","Ccnd2",12444
"","ENSMUSG00000000194","Gpr107",277463
"","ENSMUSG00000000197","Nalcn",338370
"","ENSMUSG00000000202","Btbd17",72014
"","ENSMUSG00000000204","Slfn4",20558
"","ENSMUSG00000000214","Th",21823
"","ENSMUSG00000000215","Ins2",16334
"","ENSMUSG00000000223","Drp2",13497
"","ENSMUSG00000000244","Tspan32",27027
"","ENSMUSG00000000247","Lhx2",16870
"","ENSMUSG00000000248","Clec2g",70809
"","ENSMUSG00000000253","Gmpr",66355
"","ENSMUSG00000000263","Glra1",14654
"","ENSMUSG00000000266","Mid2",23947
"","ENSMUSG00000000275","Trim25",217069
"","ENSMUSG00000000276","Dgke",56077
"","ENSMUSG00000000282","Mnt",17428
"","ENSMUSG00000000290","Itgb2",16414
"","ENSMUSG00000000295","Hddc2",69692
"","ENSMUSG00000000296","Tpd52l1",21987
"","ENSMUSG00000000301","Pemt",18618
"","ENSMUSG00000000303","Cdh1",12550
"","ENSMUSG00000000305","Cdh4",12561
"","ENSMUSG00000000308","Ckmt1",12716
"","ENSMUSG00000000317","Bcl6b",12029
"","ENSMUSG00000000318","Clec10a",17312
"","ENSMUSG00000000320","Alox12",11684
"","ENSMUSG00000000325","Arvcf",11877
"","ENSMUSG00000000326","Comt",12846
"","ENSMUSG00000000339","Rtca",66368
"","ENSMUSG00000000340","Dbt",13171
"","ENSMUSG00000000355","Mcts1",68995
"","ENSMUSG00000000359","Rem1",19700
"","ENSMUSG00000000365","Rnf17",30054
"","ENSMUSG00000000374","Trappc10",216131
"","ENSMUSG00000000378","Ccm2",216527
"","ENSMUSG00000000381","Wap",22373
"","ENSMUSG00000000384","Tbrg4",21379
"","ENSMUSG00000000386","Mx1",NA
"","ENSMUSG00000000392","Fap",14089
"","ENSMUSG00000000394","Gcg",14526
"","ENSMUSG00000000399","Ndufa9",66108
"","ENSMUSG00000000409","Lck",16818
"","ENSMUSG00000000416","Cttnbp2",30785
"","ENSMUSG00000000420","Galnt1",14423
"","ENSMUSG00000000439","Mkrn2",67027
"","ENSMUSG00000000440","Pparg",19016
"","ENSMUSG00000000441","Raf1",110157
"","ENSMUSG00000000486","Sept1",54204
"","ENSMUSG00000000530","Acvrl1",11482
"","ENSMUSG00000000538","Tom1l2",216810
"","ENSMUSG00000000544","Gpa33",59290
"","ENSMUSG00000000555","Itga5",NA
"","ENSMUSG00000000560","Gabra2",14395
"","ENSMUSG00000000561","Wdr77",70465
"","ENSMUSG00000000562","Adora3",11542
"","ENSMUSG00000000562","Adora3",69296
"","ENSMUSG00000000563","Atp5f1",11950
"","ENSMUSG00000000568","Hnrnpd",11991
"","ENSMUSG00000000579","Dynlt1c",100040563
"","ENSMUSG00000000581","C1d",57316
"","ENSMUSG00000000600","Krit1",79264
"","ENSMUSG00000000605","Clcn4",12727
"","ENSMUSG00000000606","Vmn2r88",669149
"","ENSMUSG00000000617","Grm6",108072
"","ENSMUSG00000000627","Sema4f",20355
"","ENSMUSG00000000628","Hk2",15277
"","ENSMUSG00000000631","Myo18a",360013
"","ENSMUSG00000000632","Sez6",20370
"","ENSMUSG00000000682","Cd52",23833
"","ENSMUSG00000000686","Abhd15",67477
"","ENSMUSG00000000690","Hoxb6",15414
"","ENSMUSG00000000693","Loxl3",16950
"","ENSMUSG00000000706","Btn1a1",12231
"","ENSMUSG00000000708","Kat2b",18519
"","ENSMUSG00000000711","Rab5b",19344
"","ENSMUSG00000000724","Cryba1",12957
"","ENSMUSG00000000730","Dnmt3l",54427
"","ENSMUSG00000000731","Aire",11634
"","ENSMUSG00000000732","Icosl",50723
"","ENSMUSG00000000738","Spg7",234847
"","ENSMUSG00000000739","Sult5a1",57429
"","ENSMUSG00000000740","Rpl13",270106
"","ENSMUSG00000000743","Chmp1a",234852
"","ENSMUSG00000000751","Rpa1",68275
"","ENSMUSG00000000753","Serpinf1",20317
"","ENSMUSG00000000759","Tubgcp3",259279
"","ENSMUSG00000000766","Oprm1",18390
"","ENSMUSG00000000776","Polr3d",67065
"","ENSMUSG00000000787","Ddx3x",13205
"","ENSMUSG00000000791","Il12rb1",16161
"","ENSMUSG00000000794","Kcnn3",140493
"","ENSMUSG00000000804","Usp32",237898
"","ENSMUSG00000000805","Car4",12351
"","ENSMUSG00000000817","Fasl",14103
"","ENSMUSG00000000823","Zfp512b",269401
"","ENSMUSG00000000826","Dnajc5",13002
"","ENSMUSG00000000827","Tpd52l2",66314
"","ENSMUSG00000000838","Fmr1",14265
"","ENSMUSG00000000861","Bcl11a",14025
"","ENSMUSG00000000869","Il4",16189
"","ENSMUSG00000000876","Pxmp4",59038
"","ENSMUSG00000000881","Dlg3",53310
"","ENSMUSG00000000884","Gnb1l",13972
"","ENSMUSG00000000889","Dbh",13166
"","ENSMUSG00000000901","Mmp11",17385
"","ENSMUSG00000000902","Smarcb1",20587
"","ENSMUSG00000000903","Vpreb3",22364
"","ENSMUSG00000000915","Hip1r",29816
"","ENSMUSG00000000916","Nsun5",100609
"","ENSMUSG00000000938","Hoxa10",15395
"","ENSMUSG00000000948","Gm38393",NA
"","ENSMUSG00000000957","Mmp14",17387
"","ENSMUSG00000000958","Slc7a7",20540
"","ENSMUSG00000000959","Oxa1l",69089
"","ENSMUSG00000000976","Heatr6",217026
"","ENSMUSG00000000983","Wfdc18",14038
"","ENSMUSG00000001014","Icam4",78369
"","ENSMUSG00000001016","Ilf2",67781
"","ENSMUSG00000001017","Chtop",66511
"","ENSMUSG00000001018","Snapin",20615
"","ENSMUSG00000001020","S100a4",20198
"","ENSMUSG00000001021","S100a3",20197
"","ENSMUSG00000001023","S100a5",20199
"","ENSMUSG00000001025","S100a6",20200
"","ENSMUSG00000001027","Scn4a",110880
"","ENSMUSG00000001029","Icam2",15896
"","ENSMUSG00000001034","Mapk7",23939
"","ENSMUSG00000001036","Epn2",13855
"","ENSMUSG00000001039","B9d1",27078
"","ENSMUSG00000001052","Sec24b",99683
"","ENSMUSG00000001053","N4bp3",212706
"","ENSMUSG00000001054","Rmnd5b",66089
"","ENSMUSG00000001056","Nhp2",52530
"","ENSMUSG00000001062","Vps9d1",72325
"","ENSMUSG00000001065","Zfp276",57247
"","ENSMUSG00000001082","Mfsd10",68294
"","ENSMUSG00000001089","Luzp1",269593
"","ENSMUSG00000001098","Kctd10",330171
"","ENSMUSG00000001100","Poldip2",67811
"","ENSMUSG00000001103","Sebox",18292
"","ENSMUSG00000001105","Ift20",55978
"","ENSMUSG00000001119","Col6a1",12833
"","ENSMUSG00000001120","Pcbp3",59093
"","ENSMUSG00000001123","Lgals9",16859
"","ENSMUSG00000001127","Araf",11836
"","ENSMUSG00000001128","Cfp",18636
"","ENSMUSG00000001131","Timp1",21857
"","ENSMUSG00000001134","Uxt",22294
"","ENSMUSG00000001138","Cnnm3",94218
"","ENSMUSG00000001143","Lman2l",214895
"","ENSMUSG00000001150","Mcm3ap",54387
"","ENSMUSG00000001151","Pcnt",18541
"","ENSMUSG00000001155","Ftcd",14317
"","ENSMUSG00000001156","Mxd1",17119
"","ENSMUSG00000001157","Gmcl1",23885
"","ENSMUSG00000001158","Snrnp27",66618
"","ENSMUSG00000001166","Oas1c",114643
"","ENSMUSG00000001173","Ocrl",320634
"","ENSMUSG00000001175","Calm1",12313
"","ENSMUSG00000001211","Agpat3",28169
"","ENSMUSG00000001225","Slc26a3",13487
"","ENSMUSG00000001228","Uhrf1",18140
"","ENSMUSG00000001229","Dpp9",224897
"","ENSMUSG00000001240","Ramp2",54409
"","ENSMUSG00000001247","Lsr",54135
"","ENSMUSG00000001248","Gramd1a",52857
"","ENSMUSG00000001249","Hpn",15451
"","ENSMUSG00000001260","Gabrg1",14405
"","ENSMUSG00000001270","Ckb",12709
"","ENSMUSG00000001280","Sp1",20683
"","ENSMUSG00000001281","Itgb7",16421
"","ENSMUSG00000001285","Myg1",60315
"","ENSMUSG00000001288","Rarg",19411
"","ENSMUSG00000001289","Pfdn5",56612
"","ENSMUSG00000001300","Efnb2",13642
"","ENSMUSG00000001305","Rrp15",67223
"","ENSMUSG00000001313","Rnd2",11858
"","ENSMUSG00000001323","Srr",27364
"","ENSMUSG00000001333","Sync",68828
"","ENSMUSG00000001348","Acp5",11433
"","ENSMUSG00000001349","Cnn1",12797
"","ENSMUSG00000001366","Fbxo9",71538
"","ENSMUSG00000001376","Vps50",73288
"","ENSMUSG00000001403","Ube2c",68612
"","ENSMUSG00000001415","Smg5",229512
"","ENSMUSG00000001416","Cct3",12462
"","ENSMUSG00000001418","Glmp",56700
"","ENSMUSG00000001419","Mef2d",17261
"","ENSMUSG00000001420","Tmem79",71913
"","ENSMUSG00000001424","Snd1",56463
"","ENSMUSG00000001435","Col18a1",12822
"","ENSMUSG00000001436","Slc19a1",20509
"","ENSMUSG00000001440","Kpnb1",16211
"","ENSMUSG00000001441","Npepps",19155
"","ENSMUSG00000001445","Mrpl10",107732
"","ENSMUSG00000001467","Cyp51",13121
"","ENSMUSG00000001472","Tcf25",66855
"","ENSMUSG00000001482","Def8",23854
"","ENSMUSG00000001497","Pax9",18511
"","ENSMUSG00000001504","Irx2",16372
"","ENSMUSG00000001506","Col1a1",12842
"","ENSMUSG00000001507","Itga3",16400
"","ENSMUSG00000001508","Sgca",20391
"","ENSMUSG00000001517","Foxm1",14235
"","ENSMUSG00000001518","Itfg2",101142
"","ENSMUSG00000001520","Nrip2",60345
"","ENSMUSG00000001521","Tulp3",22158
"","ENSMUSG00000001524","Gtf2h4",14885
"","ENSMUSG00000001525","Tubb5",22154
"","ENSMUSG00000001542","Ell2",192657
"","ENSMUSG00000001552","Jup",16480
"","ENSMUSG00000001555","Fkbp10",14230
"","ENSMUSG00000001558","Klhl10",66720
"","ENSMUSG00000001566","Mnx1",15285
"","ENSMUSG00000001569","Nom1",433864
"","ENSMUSG00000001576","Ergic1",67458
"","ENSMUSG00000001583","Tnk1",83813
"","ENSMUSG00000001588","Acap1",216859
"","ENSMUSG00000001604","Tcea3",21401
"","ENSMUSG00000001622","Csn3",12994
"","ENSMUSG00000001627","Ifrd1",15982
"","ENSMUSG00000001630","Stk38l",232533
"","ENSMUSG00000001632","Brpf1",78783
"","ENSMUSG00000001642","Akr1b3",11677
"","ENSMUSG00000001657","Hoxc8",15426
"","ENSMUSG00000001661","Hoxc6",15425
"","ENSMUSG00000001663","Gstt1",14871
"","ENSMUSG00000001665","Gstt3",103140
"","ENSMUSG00000001666","Ddt",13202
"","ENSMUSG00000001670","Tat",234724
"","ENSMUSG00000001672","Marveld3",73608
"","ENSMUSG00000001674","Ddx18",66942
"","ENSMUSG00000001687","Ubl3",24109
"","ENSMUSG00000001707","Eef1e1",66143
"","ENSMUSG00000001729","Akt1",11651
"","ENSMUSG00000001739","Cldn15",60363
"","ENSMUSG00000001741","Il16",16170
"","ENSMUSG00000001750","Tcirg1",27060
"","ENSMUSG00000001751","Naglu",27419
"","ENSMUSG00000001755","Coasy",71743
"","ENSMUSG00000001761","Smo",319757
"","ENSMUSG00000001763","Tspan33",232670
"","ENSMUSG00000001767","Crnkl1",66877
"","ENSMUSG00000001768","Rin2",74030
"","ENSMUSG00000001773","Folh1",53320
"","ENSMUSG00000001774","Chordc1",66917
"","ENSMUSG00000001783","Rtcb",28088
"","ENSMUSG00000001785","Pwp1",103136
"","ENSMUSG00000001786","Fbxo7",69754
"","ENSMUSG00000001794","Capns1",12336
"","ENSMUSG00000001802","Lrp3",435965
"","ENSMUSG00000001815","Evx2",14029
"","ENSMUSG00000001827","Folr1",14275
"","ENSMUSG00000001829","Clpb",20480
"","ENSMUSG00000001833","Sept7",235072
"","ENSMUSG00000001844","Zdhhc4",72881
"","ENSMUSG00000001847","Rac1",19353
"","ENSMUSG00000001855","Nup214",227720
"","ENSMUSG00000001864","Aif1l",108897
"","ENSMUSG00000001865","Cpa3",12873
"","ENSMUSG00000001870","Ltbp1",268977
"","ENSMUSG00000001891","Ugp2",216558
"","ENSMUSG00000001901","Kcnh6",192775
"","ENSMUSG00000001909","Trmt1",212528
"","ENSMUSG00000001911","Nfix",18032
"","ENSMUSG00000001918","Slc1a5",20514
"","ENSMUSG00000001924","Uba1",22201
"","ENSMUSG00000001930","Vwf",22371
"","ENSMUSG00000001942","Siae",22619
"","ENSMUSG00000001943","Vsig2",57276
"","ENSMUSG00000001946","Esam",69524
"","ENSMUSG00000001948","Spa17",20686
"","ENSMUSG00000001962","Fam50a",108160
"","ENSMUSG00000001964","Emd",13726
"","ENSMUSG00000001986","Gria3",53623
"","ENSMUSG00000001988","Npas1",18142
"","ENSMUSG00000001995","Sipa1l2",244668
"","ENSMUSG00000001998","Ap4e1",108011
"","ENSMUSG00000001999","Blvra",109778
"","ENSMUSG00000002007","Srpk3",56504
"","ENSMUSG00000002010","Idh3g",15929
"","ENSMUSG00000002012","Pnck",93843
"","ENSMUSG00000002014","Ssr4",20832
"","ENSMUSG00000002017","Fam98a",72722
"","ENSMUSG00000002020","Ltbp2",16997
"","ENSMUSG00000002028","Kmt2a",214162
"","ENSMUSG00000002031","Ift46",76568
"","ENSMUSG00000002032","Tmem25",71687
"","ENSMUSG00000002033","Cd3g",12502
"","ENSMUSG00000002043","Trappc6a",67091
"","ENSMUSG00000002052","Supt6",20926
"","ENSMUSG00000002055","Spag5",54141
"","ENSMUSG00000002058","Unc119",22248
"","ENSMUSG00000002059","Rab34",19376
"","ENSMUSG00000002064","Sdf2",20316
"","ENSMUSG00000002068","Ccne1",12447
"","ENSMUSG00000002076","Hsf2bp",74377
"","ENSMUSG00000002083","Bbc3",170770
"","ENSMUSG00000002100","Mybpc3",17868
"","ENSMUSG00000002102","Psmc3",19182
"","ENSMUSG00000002103","Acp2",11432
"","ENSMUSG00000002104","Rapsn",19400
"","ENSMUSG00000002105","Slc39a13",68427
"","ENSMUSG00000002107","Celf2",14007
"","ENSMUSG00000002108","Nr1h3",22259
"","ENSMUSG00000002109","Ddb2",107986
"","ENSMUSG00000002111","Spi1",20375
"","ENSMUSG00000002129","Sf3a1",67465
"","ENSMUSG00000002147","Stat6",20852
"","ENSMUSG00000002190","Clgn",12745
"","ENSMUSG00000002204","Napsa",16541
"","ENSMUSG00000002205","Vrk3",101568
"","ENSMUSG00000002210","Smg9",71997
"","ENSMUSG00000002221","Paxip1",55982
"","ENSMUSG00000002222","Rmnd5a",68477
"","ENSMUSG00000002227","Mov10",17454
"","ENSMUSG00000002228","Ppm1j",71887
"","ENSMUSG00000002233","Rhoc",11853
"","ENSMUSG00000002249","Tead3",21678
"","ENSMUSG00000002250","Ppard",19015
"","ENSMUSG00000002257","Def6",23853
"","ENSMUSG00000002265","Peg3",18616
"","ENSMUSG00000002266","Zim1",22776
"","ENSMUSG00000002274","Metrn",70083
"","ENSMUSG00000002279","Lmf1",76483
"","ENSMUSG00000002280","Narfl",67563
"","ENSMUSG00000002289","Angptl4",57875
"","ENSMUSG00000002297","Dbf4",27214
"","ENSMUSG00000002307","Daxx",13163
"","ENSMUSG00000002308","Cd320",54219
"","ENSMUSG00000002319","Ipo4",75751
"","ENSMUSG00000002320","Tm9sf1",74140
"","ENSMUSG00000002324","Rec8",56739
"","ENSMUSG00000002325","Irf9",16391
"","ENSMUSG00000002326","Gmpr2",105446
"","ENSMUSG00000002329","Mdp1",67881
"","ENSMUSG00000002332","Dhrs1",52585
"","ENSMUSG00000002342","Tmem161a",234371
"","ENSMUSG00000002343","Armc6",76813
"","ENSMUSG00000002345","Borcs8",72368
"","ENSMUSG00000002346","Slc25a42",73095
"","ENSMUSG00000002384","Bmp8b",12164
"","ENSMUSG00000002393","Nr2f6",13864
"","ENSMUSG00000002395","Use1",67023
"","ENSMUSG00000002396","Ocel1",77090
"","ENSMUSG00000002413","Braf",109880
"","ENSMUSG00000002416","Ndufb2",68198
"","ENSMUSG00000002428","Hltf",20585
"","ENSMUSG00000002455","Prpf6",68879
"","ENSMUSG00000002458","Rgs19",56470
"","ENSMUSG00000002459","Rgs20",58175
"","ENSMUSG00000002475","Abhd3",106861
"","ENSMUSG00000002486","Tchp",77832
"","ENSMUSG00000002489","Tiam1",21844
"","ENSMUSG00000002496","Tsc2",22084
"","ENSMUSG00000002500","Rpl3l",66211
"","ENSMUSG00000002524","Puf60",67959
"","ENSMUSG00000002546","Golga2",99412
"","ENSMUSG00000002550","Uck1",22245
"","ENSMUSG00000002578","Ikzf4",22781
"","ENSMUSG00000002588","Pon1",18979
"","ENSMUSG00000002602","Axl",26362
"","ENSMUSG00000002603","Tgfb1",21803
"","ENSMUSG00000002608","Ccdc97",52132
"","ENSMUSG00000002617","Zfp40",22700
"","ENSMUSG00000002635","Pdcd2l",68079
"","ENSMUSG00000002661","Alkbh7",66400
"","ENSMUSG00000002679","Med6",69792
"","ENSMUSG00000002699","Lcp2",16822
"","ENSMUSG00000002718","Cse1l",110750
"","ENSMUSG00000002728","Naa20",67877
"","ENSMUSG00000002731","Prkra",23992
"","ENSMUSG00000002732","Fkbp7",14231
"","ENSMUSG00000002733","Plekha3",83435
"","ENSMUSG00000002741","Ykt6",56418
"","ENSMUSG00000002748","Baz1b",22385
"","ENSMUSG00000002763","Pex6",224824
"","ENSMUSG00000002767","Mrpl2",27398
"","ENSMUSG00000002769","Gnmt",14711
"","ENSMUSG00000002771","Grin2d",14814
"","ENSMUSG00000002778","Kdelr1",68137
"","ENSMUSG00000002781","Tmem143",70209
"","ENSMUSG00000002791","Pdxk-ps",NA
"","ENSMUSG00000002797","Ggct",110175
"","ENSMUSG00000002799","Jag2",16450
"","ENSMUSG00000002803","Btbd6",399566
"","ENSMUSG00000002804","Nudt14",66174
"","ENSMUSG00000002808","Epdr1",105298
"","ENSMUSG00000002812","Flii",14248
"","ENSMUSG00000002814","Top3a",21975
"","ENSMUSG00000002820","Atg4d",235040
"","ENSMUSG00000002825","Qtrt1",60507
"","ENSMUSG00000002831","Plin4",57435
"","ENSMUSG00000002833","Hdgfl2",15193
"","ENSMUSG00000002845","Tmem39a",67846
"","ENSMUSG00000002846","Timmdc1",76916
"","ENSMUSG00000002870","Mcm2",17216
"","ENSMUSG00000002871","Tpra1",24100
"","ENSMUSG00000002881","Nab1",17936
"","ENSMUSG00000002885","Adgre5",26364
"","ENSMUSG00000002897","Il17ra",16172
"","ENSMUSG00000002900","Lamb1",16777
"","ENSMUSG00000002908","Kcnn1",84036
"","ENSMUSG00000002910","Arrdc2",70807
"","ENSMUSG00000002944","Cd36",12491
"","ENSMUSG00000002948","Map2k7",26400
"","ENSMUSG00000002949","Timm44",21856
"","ENSMUSG00000002957","Ap2a2",11772
"","ENSMUSG00000002963","Pnkp",59047
"","ENSMUSG00000002968","Med25",75613
"","ENSMUSG00000002980","Bcam",57278
"","ENSMUSG00000002981","Clptm1",56457
"","ENSMUSG00000002983","Relb",19698
"","ENSMUSG00000002984","Tomm40",53333
"","ENSMUSG00000002985","Apoe",11816
"","ENSMUSG00000002992","Apoc2",11813
"","ENSMUSG00000002996","Hbp1",73389
"","ENSMUSG00000002997","Prkar2b",19088
"","ENSMUSG00000003031","Cdkn1b",12576
"","ENSMUSG00000003032","Klf4",16600
"","ENSMUSG00000003033","Ap1m1",11767
"","ENSMUSG00000003037","Rab8a",17274
"","ENSMUSG00000003038","Hmgn2",15331
"","ENSMUSG00000003039","Fam32a",67922
"","ENSMUSG00000003051","Elf3",13710
"","ENSMUSG00000003053","Cyp2c29",13095
"","ENSMUSG00000003062","Stard3nl",76205
"","ENSMUSG00000003068","Stk11",20869
"","ENSMUSG00000003072","Atp5d",66043
"","ENSMUSG00000003099","Ppp5c",19060
"","ENSMUSG00000003119","Cdk12",69131
"","ENSMUSG00000003123","Lipe",16890
"","ENSMUSG00000003131","Pafah1b2",18475
"","ENSMUSG00000003134","Tbc1d8",54610
"","ENSMUSG00000003135","Cnot11",52846
"","ENSMUSG00000003153","Slc2a3",20527
"","ENSMUSG00000003154","Foxj2",60611
"","ENSMUSG00000003161","Sri",109552
"","ENSMUSG00000003166","Dgcr2",13356
"","ENSMUSG00000003184","Irf3",54131
"","ENSMUSG00000003190","Bcl2l12",75736
"","ENSMUSG00000003198","Zfp959",224893
"","ENSMUSG00000003199","Mpnd",68047
"","ENSMUSG00000003226","Ranbp2",19386
"","ENSMUSG00000003233","Dvl3",13544
"","ENSMUSG00000003234","Abcf3",27406
"","ENSMUSG00000003235","Eif2b5",224045
"","ENSMUSG00000003269","Cyth2",19158
"","ENSMUSG00000003271","Sult2b1",54200
"","ENSMUSG00000003273","Car11",12348
"","ENSMUSG00000003279","Dlgap1",224997
"","ENSMUSG00000003282","Plag1",56711
"","ENSMUSG00000003283","Hck",15162
"","ENSMUSG00000003299","Mrpl4",66163
"","ENSMUSG00000003308","Keap1",50868
"","ENSMUSG00000003309","Ap1m2",11768
"","ENSMUSG00000003316","Glg1",20340
"","ENSMUSG00000003341","Atp8b3",67331
"","ENSMUSG00000003344","Btbd2",208198
"","ENSMUSG00000003345","Csnk1g2",103236
"","ENSMUSG00000003346","Abhd17a",216169
"","ENSMUSG00000003348","Mob3a",208228
"","ENSMUSG00000003360","Ddx23",74351
"","ENSMUSG00000003363","Pld3",18807
"","ENSMUSG00000003378","Grik5",14809
"","ENSMUSG00000003380","Rabac1",14470
"","ENSMUSG00000003382","Etv3",27049
"","ENSMUSG00000003402","Prkcsh",19089
"","ENSMUSG00000003410","Elavl3",15571
"","ENSMUSG00000003411","Rab3b",69908
"","ENSMUSG00000003418","St8sia6",241230
"","ENSMUSG00000003420","Fcgrt",14132
"","ENSMUSG00000003421","Nosip",66394
"","ENSMUSG00000003423","Pih1d1",68845
"","ENSMUSG00000003429","Rps11",27207
"","ENSMUSG00000003435","Supt5",20924
"","ENSMUSG00000003436","Dll3",13389
"","ENSMUSG00000003437","Paf1",54624
"","ENSMUSG00000003438","Timm50",66525
"","ENSMUSG00000003452","Bicd1",12121
"","ENSMUSG00000003458","Ncstn",59287
"","ENSMUSG00000003464","Pex19",19298
"","ENSMUSG00000003469","Phyhip",105653
"","ENSMUSG00000003476","Crhr2",12922
"","ENSMUSG00000003477","Inmt",21743
"","ENSMUSG00000003484","Cyp4f18",72054
"","ENSMUSG00000003500","Impdh1",23917
"","ENSMUSG00000003505","Psg18",26438
"","ENSMUSG00000003518","Dusp3",72349
"","ENSMUSG00000003526","Prodh",19125
"","ENSMUSG00000003528","Slc25a1",13358
"","ENSMUSG00000003531","Dgcr6",13353
"","ENSMUSG00000003534","Ddr1",12305
"","ENSMUSG00000003545","Fosb",14282
"","ENSMUSG00000003549","Ercc1",13870
"","ENSMUSG00000003555","Cyp17a1",13074
"","ENSMUSG00000003573","Homer3",26558
"","ENSMUSG00000003575","Crtc1",382056
"","ENSMUSG00000003581","Rnf215",71673
"","ENSMUSG00000003585","Sec14l2",67815
"","ENSMUSG00000003604","Aven",74268
"","ENSMUSG00000003617","Cp",12870
"","ENSMUSG00000003623","Crot",74114
"","ENSMUSG00000003644","Rps6ka1",20111
"","ENSMUSG00000003657","Calb2",12308
"","ENSMUSG00000003660","Snrnp200",320632
"","ENSMUSG00000003662","Ciao1",26371
"","ENSMUSG00000003680","Taf6l",67706
"","ENSMUSG00000003680","Taf6l",225895
"","ENSMUSG00000003721","Insig2",72999
"","ENSMUSG00000003731","Kpna6",16650
"","ENSMUSG00000003746","Man1a",17155
"","ENSMUSG00000003752","Itpkc",233011
"","ENSMUSG00000003762","Coq8b",76889
"","ENSMUSG00000003778","Brd8",78656
"","ENSMUSG00000003808","Farsa",66590
"","ENSMUSG00000003809","Gcdh",270076
"","ENSMUSG00000003810","Mast2",17776
"","ENSMUSG00000003812","Dnase2a",13423
"","ENSMUSG00000003813","Rad23a",19358
"","ENSMUSG00000003814","Calr",12317
"","ENSMUSG00000003824","Syce2",71846
"","ENSMUSG00000003847","Nfat5",54446
"","ENSMUSG00000003848","Nob1",67619
"","ENSMUSG00000003863","Ppfia3",76787
"","ENSMUSG00000003865","Gys1",14936
"","ENSMUSG00000003868","Ruvbl2",20174
"","ENSMUSG00000003872","Lin7b",22342
"","ENSMUSG00000003873","Bax",12028
"","ENSMUSG00000003882","Il7r",16197
"","ENSMUSG00000003923","Tfam",21780
"","ENSMUSG00000003948","Mmd",67468
"","ENSMUSG00000003949","Hlf",217082
"","ENSMUSG00000003992","Ssbp2",66970
"","ENSMUSG00000004018","Fancl",67030
"","ENSMUSG00000004031","Brinp2",240843
"","ENSMUSG00000004032","Gstm5",14866
"","ENSMUSG00000004035","Gstm7",68312
"","ENSMUSG00000004040","Stat3",20848
"","ENSMUSG00000004043","Stat5a",20850
"","ENSMUSG00000004044","Cavin1",19285
"","ENSMUSG00000004056","Akt2",11652
"","ENSMUSG00000004069","Dnaja3",83945
"","ENSMUSG00000004070","Hmox2",15369
"","ENSMUSG00000004071","Cdip1",66626
"","ENSMUSG00000004085","Map3k20",65964
"","ENSMUSG00000004096","Cwc15",66070
"","ENSMUSG00000004098","Col5a3",53867
"","ENSMUSG00000004099","Dnmt1",13433
"","ENSMUSG00000004100","Ppan",235036
"","ENSMUSG00000004105","Angptl2",26360
"","ENSMUSG00000004110","Cacna1e",12290
"","ENSMUSG00000004113","Cacna1b",12287
"","ENSMUSG00000004127","Trmt10a",108943
"","ENSMUSG00000004151","Etv1",14009
"","ENSMUSG00000004207","Psap",19156
"","ENSMUSG00000004221","Ikbkg",16151
"","ENSMUSG00000004231","Pax2",18504
"","ENSMUSG00000004233","Wars2",70560
"","ENSMUSG00000004263","Atn1",13498
"","ENSMUSG00000004264","Phb2",12034
"","ENSMUSG00000004266","Ptpn6",15170
"","ENSMUSG00000004267","Eno2",13807
"","ENSMUSG00000004268","Emg1",14791
"","ENSMUSG00000004270","Lpcat3",14792
"","ENSMUSG00000004285","Atp6v1f",66144
"","ENSMUSG00000004296","Il12b",16160
"","ENSMUSG00000004317","Clcn5",12728
"","ENSMUSG00000004319","Clcn3",12725
"","ENSMUSG00000004328","Hif3a",53417
"","ENSMUSG00000004341","Gpx6",75512
"","ENSMUSG00000004347","Pde1c",18575
"","ENSMUSG00000004356","Utp20",70683
"","ENSMUSG00000004359","Spic",20728
"","ENSMUSG00000004360","9330159F19Rik",212448
"","ENSMUSG00000004364","Cul3",26554
"","ENSMUSG00000004383","Large1",16795
"","ENSMUSG00000004393","Ddx56",52513
"","ENSMUSG00000004394","Tmed4",103694
"","ENSMUSG00000004415","Col26a1",140709
"","ENSMUSG00000004446","Bid",12122
"","ENSMUSG00000004451","Ralb",64143
"","ENSMUSG00000004455","Ppp1cc",19047
"","ENSMUSG00000004455","Ppp1cc",434233
"","ENSMUSG00000004460","Dnajb11",67838
"","ENSMUSG00000004500","Zfp324",243834
